id,gender,single/marries,age,age_group,Area_code,Area_name,Market_code,Market,Sub_market_code,Sub_market,Social_type_code,Social_type,SocioEconomic_code,SocioEconomic_type
1,Female   ,Single,79,75-84      ,1,Jerusalem,9,General,2,General- Religious,9,General,2,Medium
2,Female   ,Single,92,85+        ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
3,Male    ,Married,69,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
4,Male    ,Married,73,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
5,Female   ,Married,84,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
6,Male    ,Married,57,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
7,Male    ,Single,57,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
8,Female   ,Single,75,75-84      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
9,Male    ,Married,60,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
10,Female   ,Married,71,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
11,Female   ,Single,66,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
12,Male    ,Married,78,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
13,Female   ,Single,78,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
14,Female   ,Single,71,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
15,Female   ,Married,64,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
16,Male    ,Married,74,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
17,Female   ,Single,60,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
18,Male    ,Single,64,55-64      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
19,Male    ,Married,70,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
20,Male    ,Married,74,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
21,Male    ,Married,59,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
22,Female   ,Married,66,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
23,Female   ,Single,72,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
24,Male    ,Married,75,75-84      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
25,Male    ,Married,64,55-64      ,1,Jerusalem,9,General,2,General- Religious,9,General,1,Low
26,Male    ,Married,84,75-84      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
27,Female   ,Married,58,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
28,Male    ,Married,71,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
29,Female   ,Married,61,55-64      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
30,Female   ,Married,61,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
31,Male    ,Married,74,65-74      ,1,Jerusalem,9,General,2,General- Religious,9,General,1,Low
32,Male    ,Married,91,85+        ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
33,Male    ,Married,60,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
34,Female   ,Married,59,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
35,Male    ,Married,61,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
36,Male    ,Married,74,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
37,Female   ,Single,81,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
38,Male    ,Single,59,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,1,Low
39,Female   ,Married,66,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,1,Low
40,Male    ,Married,84,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
41,Male    ,Married,84,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
42,Male    ,Married,81,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
43,Male    ,Married,59,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
44,Male    ,Married,80,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
45,Male    ,Married,61,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
46,Male    ,Married,70,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
47,Female   ,Married,69,65-74      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
48,Male    ,Married,72,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
49,Female   ,Married,74,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
50,Male    ,Married,56,55-64      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
51,Female   ,Married,78,75-84      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,1,Low
52,Female   ,Married,59,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
53,Male    ,Married,86,85+        ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
54,Male    ,Married,65,65-74      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
55,Female   ,Married,68,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,1,Low
56,Male    ,Married,57,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
57,Female   ,Single,72,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
58,Male    ,Married,67,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
59,Female   ,Single,70,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
60,Female   ,Single,92,85+        ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
61,Female   ,Single,79,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
62,Male    ,Single,84,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
63,Male    ,Married,73,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
64,Female   ,Single,62,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
65,Female   ,Married,53,45-54      ,1,Jerusalem,9,General,2,General- Religious,9,General,2,Medium
66,Male    ,Single,55,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
67,Female   ,Single,77,75-84      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
68,Male    ,Married,75,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
69,Female   ,Married,53,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
70,Male    ,Married,60,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
71,Female   ,Married,70,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
72,Female   ,Married,71,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
73,Male    ,Married,51,45-54      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
74,Male    ,Married,88,85+        ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
75,Female   ,Single,57,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
76,Male    ,Married,54,45-54      ,1,Jerusalem,9,General,2,General- Religious,9,General,2,Medium
77,Female   ,Single,78,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
78,Female   ,Married,60,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
79,Female   ,Married,69,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
80,Male    ,Married,46,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
81,Male    ,Married,69,65-74      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
82,Male    ,Married,41,35-44      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
83,Female   ,Married,65,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
84,Female   ,Single,87,85+        ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
85,Female   ,Married,57,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
86,Male    ,Married,72,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
87,Female   ,Single,81,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
88,Male    ,Single,78,75-84      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
89,Female   ,Single,73,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
90,Male    ,Single,70,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
91,Male    ,Married,59,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,1,Low
92,Female   ,Single,69,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
93,Male    ,Married,67,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
94,Female   ,Single,84,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
95,Female   ,Married,60,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
96,Male    ,Single,57,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
97,Female   ,Married,73,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
98,Female   ,Married,69,65-74      ,1,Jerusalem,9,General,2,General- Religious,9,General,2,Medium
99,Male    ,Married,60,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
100,Male    ,Married,74,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
101,Female   ,Married,64,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
102,Female   ,Married,69,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
103,Female   ,Single,64,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
104,Female   ,Married,68,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
105,Female   ,Married,68,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
106,Male    ,Married,58,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
107,Male    ,Married,60,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
108,Female   ,Married,75,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
109,Male    ,Married,58,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
110,Male    ,Married,66,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
111,Male    ,Married,73,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,1,Low
112,Female   ,Single,56,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
113,Female   ,Single,56,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
114,Male    ,Married,55,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
115,Female   ,Married,55,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
116,Female   ,Married,55,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
117,Male    ,Married,53,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
118,Female   ,Married,52,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
119,Female   ,Single,54,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
120,Male    ,Single,54,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
121,Female   ,Married,54,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
122,Female   ,Married,53,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
123,Female   ,Married,53,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
124,Female   ,Married,52,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
125,Male    ,Married,51,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,1,Low
126,Female   ,Single,51,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,1,Low
127,Female   ,Married,51,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,1,Low
128,Male    ,Married,50,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
129,Female   ,Married,50,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
130,Male    ,Single,49,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
131,Male    ,Married,49,45-54      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
132,Male    ,Married,48,45-54      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
133,Female   ,Married,47,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
134,Female   ,Married,46,45-54      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
135,Male    ,Married,46,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
136,Male    ,Single,45,45-54      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
137,Male    ,Married,45,45-54      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
138,Female   ,Single,44,35-44      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
139,Female   ,Married,44,35-44      ,1,Jerusalem,9,General,1,General - General,9,General,1,Low
140,Female   ,Married,43,35-44      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
141,Male    ,Single,42,35-44      ,1,Jerusalem,9,General,1,General - General,9,General,3,High
142,Female   ,Married,40,35-44      ,1,Jerusalem,1,Arab,2,Arab - Other,1,Arab,2,Medium
143,Male    ,Married,56,55-64      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
144,Female   ,Married,56,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
145,Male    ,Married,79,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
146,Male    ,Married,51,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
147,Female   ,Single,89,85+        ,1,Jerusalem,9,General,1,General - General,9,General,1,Low
148,Female   ,Married,70,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
149,Male    ,Married,56,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,1,Low
150,Male    ,Married,56,55-64      ,1,Jerusalem,9,General,2,General- Religious,9,General,3,High
151,Male    ,Married,70,65-74      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
152,Female   ,Married,53,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
153,Female   ,Married,58,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,1,Low
154,Male    ,Married,56,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
155,Female   ,Single,87,85+        ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
156,Male    ,Married,69,65-74      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
157,Female   ,Married,81,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
158,Female   ,Single,81,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
159,Male    ,Married,55,55-64      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
160,Female   ,Single,49,45-54      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
161,Male    ,Single,76,75-84      ,1,Jerusalem,9,General,2,General- Religious,9,General,2,Medium
162,Male    ,Single,82,75-84      ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
163,Male    ,Single,50,45-54      ,1,Jerusalem,2,Orthodox,0,None,2,Orthodox     ,2,Medium
164,Female   ,Married,87,85+        ,1,Jerusalem,9,General,1,General - General,9,General,2,Medium
