StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,55.38,None
2,1,1,55.38,69.54,0.9985239844353391
3,1,2,69.54,inf,0.9993148337667671
4,2,0,-inf,20.1,None
5,2,1,20.1,inf,
6,3,0,-inf,30.0,None
7,3,1,30.0,inf,
8,4,0,-inf,22.0,None
9,4,1,22.0,24.0,
10,4,2,24.0,inf,
11,5,0,-inf,20.1,None
12,5,1,20.1,inf,1.0
13,6,0,-inf,30.0,None
14,6,1,30.0,45.0,
15,6,2,45.0,inf,
16,39,0,-inf,8.26,None
17,39,1,8.26,10.82,0.9376226682627333
18,39,2,10.82,inf,0.9948688372906245
19,40,0,-inf,120.6,None
20,40,1,120.6,136.8,0.9931459096297017
21,40,2,136.8,inf,0.9950371902099893
22,41,0,-inf,202.0,None
23,41,1,202.0,221.0,0.9743649775774262
24,41,2,221.0,inf,0.9902939771518444
25,42,0,-inf,169.0,None
26,42,1,169.0,263.0,0.9952819145152362
27,42,2,263.0,inf,0.9691861172357449
28,43,0,-inf,3.9400000000000004,None
29,43,1,3.9400000000000004,4.66,0.9991951227131366
30,43,2,4.66,inf,0.9460306980149522
31,44,0,-inf,1.428,None
32,44,1,1.428,1.6139999999999999,0.9994716332766336
33,44,2,1.6139999999999999,inf,0.9994716332766336
34,55,0,-inf,0.2,None
35,55,1,0.2,0.4,0.7071067811865475
36,55,2,0.4,inf,0.7071067811865475
